dose,y_z001,y_z002,y_z003,y_z004,y_z005,y_z006,y_z007,y_z008,y_z009,y_z010,y_z011,y_z012,y_z013,y_z014,y_z015,y_z016,y_z017,y_z018,y_z019,y_z020,y_z021,y_z022,y_z023,y_z024,y_z025,y_z026,y_z027,y_z028,y_z029,y_z030,y_z031,y_z032,y_z033,y_z034,y_z035,y_z036,y_z037,y_z038,y_z039,y_z040,y_z041,y_z042,y_z043,y_z044,y_z045,y_z046,y_z047,y_z048,y_z049,y_z050,y_z051,y_z052,y_z053,y_z054,y_z055,y_z056,y_z057,y_z058,y_z059,y_z060,y_z061,y_z062,y_z063,y_z064,y_z065,y_z066,y_z067,y_z068,y_z069,y_z070,y_z071,y_z072,y_z073,y_z074,y_z075,y_z076,y_z077,y_z078,y_z079,y_z080,y_z081,y_z082,y_z083,y_z084,y_z085,y_z086,y_z087,y_z088,y_z089,y_z090,y_z091,y_z092,y_z093,y_z094,y_z095,y_z096,y_z097,y_z098,y_z099,y_z100
6.0,3.0970,2.9275,2.5182,1.9747,1.6303,1.3944,0.8037,0.0438,-0.6412,-1.2222,-1.8430,-2.3980,-3.1521,-3.9623,-4.4257,-4.8440,-5.4712,-5.7513,-6.0028,-5.9464,-5.8763,-5.7633,-5.3654,-5.2259,-4.8587,-4.1144,-3.7279,-3.2046,-2.6203,-2.2479,-1.7300,-1.2005,-0.9935,-0.6806,-0.5049,-0.2390,-0.2460,-0.1919,-0.0853,0.1720,-0.0193,0.1127,0.3229,0.1865,0.3362,0.1529,0.0740,0.0841,-0.0130,0.3272,0.0994,-0.0915,0.0884,0.1927,0.0658,-0.1389,0.2360,-0.0325,0.0231,0.1161,0.0220,0.1011,0.1113,0.0173,-0.0502,0.1610,-0.1862,0.1183,0.1145,0.0613,0.0999,0.1092,0.0520,-0.0042,-0.0009,-0.0862,-0.1321,0.2041,0.0262,-0.0243,0.0248,0.1375,0.0189,0.0989,0.0759,0.0775,0.0290,-0.1229,0.1407,-0.0229,-0.0066,0.2416,0.0547,0.1561,0.2425,0.0511,-0.1016,-0.1102,-0.0283,0.0350
6.4,3.2171,3.1378,2.3872,1.9298,1.5416,1.3067,0.6580,-0.0896,-0.4774,-1.2339,-1.8209,-2.5106,-3.1579,-3.9392,-4.2714,-4.9608,-5.4497,-5.7410,-6.0407,-6.1842,-5.9565,-5.8560,-5.7449,-5.4886,-4.6562,-4.2292,-3.9016,-3.2639,-2.6703,-2.3252,-1.6426,-1.1042,-0.9135,-0.8489,-0.4413,-0.3844,-0.1830,-0.0731,0.0613,0.1898,-0.0152,0.0165,0.2668,0.3262,0.1163,0.3928,0.3211,0.0365,0.2752,0.0764,-0.0130,0.1351,0.1044,0.0694,-0.1369,0.1385,0.1548,0.0738,0.0931,0.1813,0.0203,-0.0002,0.0367,0.0928,0.0303,0.1472,0.1274,-0.0830,0.1215,0.0922,0.0451,0.0741,0.1782,0.0912,0.1309,0.0192,0.0566,0.0438,0.1931,0.0702,-0.0000,0.0071,0.1539,0.0700,0.1841,0.0472,-0.0133,-0.0792,0.1061,-0.0673,0.0346,-0.0765,0.1332,0.1288,0.1814,-0.0357,-0.0342,-0.2149,-0.0553,0.0685
6.8,3.2428,2.8094,2.6539,2.2147,1.7377,1.1038,0.6530,0.0064,-0.3656,-1.1133,-1.9421,-2.4711,-3.4115,-3.9996,-4.6833,-5.2062,-5.5350,-5.9527,-6.2236,-6.2680,-6.3279,-6.2479,-5.7252,-5.3098,-5.0251,-4.4389,-3.7883,-3.4286,-2.6172,-2.3309,-1.6541,-1.4468,-1.0819,-0.7366,-0.4032,-0.0818,-0.2890,0.0474,-0.1087,0.1941,0.0402,0.2149,0.0494,0.1991,0.1254,0.3357,0.2166,0.1704,0.1846,0.0899,0.0646,0.1735,-0.0059,0.0397,0.1510,0.0376,0.1633,0.0190,0.0176,0.0561,0.0879,-0.0452,0.1433,-0.0548,0.0650,0.0801,-0.1434,-0.0298,-0.0282,0.0336,0.1130,0.0570,-0.0403,0.0349,0.1315,-0.1779,0.1916,-0.0945,0.0306,0.0553,-0.1464,0.2142,0.0202,-0.0525,0.0484,-0.0484,0.0390,-0.0213,0.0686,0.0689,-0.0472,0.0707,0.0235,0.0785,0.0069,0.0309,0.1997,0.0192,0.0245,-0.1382
7.2,3.1758,3.0446,2.2843,2.1169,1.8454,1.1673,0.6564,-0.0040,-0.6345,-1.2102,-1.9997,-2.6035,-3.3261,-4.1805,-4.7487,-5.2557,-5.5576,-6.0001,-6.3708,-6.2761,-6.3777,-6.2536,-5.9813,-5.5724,-4.7930,-4.4277,-3.8916,-3.5244,-2.8438,-2.3515,-1.9796,-1.3699,-0.9906,-0.8732,-0.5739,-0.3140,-0.2555,0.0552,-0.0375,0.1122,0.1649,0.1231,0.1654,0.2493,0.0339,0.2249,0.1472,0.2541,0.1194,0.1103,0.0061,-0.0232,0.2041,0.0364,0.1056,0.1765,0.0684,0.3276,-0.1212,0.1836,0.1533,0.0506,0.1253,0.0302,0.0134,0.0232,-0.0950,0.1128,0.1421,0.0952,0.0125,-0.1401,0.1462,0.1171,-0.0995,-0.0892,0.1109,-0.0691,0.0445,-0.0955,-0.0686,0.0594,0.1195,0.0776,0.1340,-0.0265,0.2741,0.0123,-0.0018,-0.0261,-0.1671,0.0527,-0.0654,-0.0157,-0.1122,0.0827,0.1884,-0.0065,-0.0660,-0.0773
7.6,3.1111,2.7871,2.3286,2.0116,1.4363,1.1514,0.6964,-0.0325,-0.6213,-1.4376,-1.9393,-2.5610,-3.6096,-4.1321,-4.8727,-5.2810,-5.6978,-6.1221,-6.3941,-6.4763,-6.5728,-6.3233,-5.8439,-5.7102,-5.0152,-4.3850,-4.0041,-3.3688,-2.9025,-2.4784,-1.9464,-1.2623,-1.0031,-0.7837,-0.5755,-0.2557,-0.0600,-0.1063,-0.0030,0.2011,0.1184,0.0344,0.2283,0.0765,0.2310,0.1609,0.1910,0.1419,0.1929,0.1531,0.0690,0.0912,0.0938,0.1077,0.1475,0.1478,0.0218,0.1378,0.1373,-0.0234,0.0320,-0.0988,0.1170,0.0614,0.1011,0.0560,-0.0263,0.0857,-0.1258,0.0836,0.1259,0.1825,0.0029,-0.0825,0.0844,0.0744,-0.0213,-0.0210,-0.0185,0.0987,0.0400,-0.0541,-0.0082,-0.0663,-0.0886,-0.0711,-0.0993,-0.1500,0.2358,-0.0690,0.2105,-0.0856,0.1033,0.0091,-0.2826,0.1484,-0.0669,-0.1094,0.1287,0.0434
8.0,3.2903,2.8822,2.4210,2.1650,1.5556,1.1333,0.7004,-0.0537,-0.6275,-1.3072,-2.0525,-2.7978,-3.7885,-4.1457,-4.9208,-5.3493,-5.8847,-6.3678,-6.5439,-6.4470,-6.6475,-6.3972,-6.1409,-5.3196,-5.2796,-4.5208,-4.1116,-3.6133,-2.8066,-2.3272,-1.7758,-1.4863,-1.0832,-0.7385,-0.5610,-0.3507,-0.2963,-0.2322,0.0391,-0.0338,0.0285,0.1498,0.0880,-0.0034,0.1653,-0.0548,0.0975,-0.0603,0.1946,0.2333,0.1112,0.0636,-0.0838,0.0019,0.0879,0.2047,0.0716,0.1474,0.1011,0.1869,0.1089,0.0431,0.1612,0.0027,0.0301,0.1682,0.1079,0.1321,-0.0665,0.0042,0.1892,-0.0091,-0.0326,-0.2236,-0.2056,-0.0044,0.1362,-0.1222,0.1463,-0.1238,-0.1496,0.0105,0.2665,-0.1051,-0.0700,0.0485,-0.0978,-0.0098,0.0137,0.0311,-0.0636,0.0658,0.0430,0.0584,-0.0220,0.0419,-0.0045,-0.0264,0.0398,0.0817
8.4,3.2086,2.8474,2.3248,2.0251,1.7447,0.9188,0.6996,-0.3443,-0.6708,-1.4296,-2.0848,-2.9461,-3.7448,-4.2252,-5.0105,-5.3841,-5.8118,-6.2289,-6.5735,-6.7418,-6.6283,-6.5088,-6.1345,-5.7081,-5.2642,-4.7598,-4.0421,-3.5897,-3.0593,-2.4716,-1.9113,-1.6898,-1.2015,-0.8394,-0.2986,-0.5667,-0.2265,-0.0865,0.0891,-0.0361,0.1610,0.0224,0.2867,0.2128,0.0781,0.1575,0.1772,0.0829,0.0608,0.0974,0.0372,0.1649,-0.0706,0.1548,0.1539,0.0901,0.0764,0.1860,0.0583,0.1005,0.1478,0.1111,0.1338,-0.0618,0.0788,-0.0179,0.0628,0.2542,0.1745,0.0067,0.0054,-0.0364,-0.0327,0.0174,0.0761,0.1473,0.1516,-0.2042,-0.0727,-0.0273,0.2132,0.1023,0.0751,0.1493,-0.0065,-0.0470,-0.0007,-0.0736,-0.0371,0.0861,0.0577,0.0673,0.0964,-0.0976,-0.1769,-0.0835,-0.1686,0.0572,0.0358,0.0229
8.8,3.2026,2.8260,2.4606,1.8999,1.4934,1.2959,0.5126,0.0193,-0.7530,-1.3152,-2.3102,-2.8318,-3.5744,-4.3344,-5.0532,-5.4960,-5.9525,-6.4282,-6.6719,-6.7284,-6.7641,-6.3962,-6.1436,-5.7964,-5.4806,-4.8504,-4.3589,-3.6292,-3.0409,-2.5863,-1.9432,-1.5343,-1.2354,-0.9464,-0.4830,-0.3736,-0.0249,-0.1390,-0.0486,0.2048,0.1078,-0.0069,0.1783,0.3822,0.1537,0.1340,0.1594,0.2863,-0.0080,0.0467,0.0982,0.1129,0.0441,0.1167,-0.0873,0.3266,-0.0935,0.1556,0.0389,-0.0544,-0.1483,-0.0126,0.1506,-0.0464,-0.0124,0.1297,-0.0314,0.0584,0.0139,-0.0509,-0.0662,-0.0487,0.1801,0.0062,-0.1188,0.0544,-0.1167,0.0980,-0.1519,0.0818,0.0187,-0.0563,-0.0952,0.1468,0.0521,0.0217,-0.0672,-0.0547,0.0605,0.0315,0.0252,0.0278,-0.1484,-0.0728,0.1059,0.0656,0.0637,0.0504,-0.0632,0.0506
9.2,3.0357,2.8028,2.4375,1.9235,1.4092,1.0671,0.5832,-0.2367,-0.8539,-1.6054,-2.1992,-2.8407,-3.7153,-4.5916,-4.9576,-5.7194,-6.1914,-6.6906,-6.8850,-6.8221,-6.6666,-6.5549,-6.1554,-5.7809,-5.4150,-5.0002,-4.1580,-3.6115,-2.9858,-2.2643,-1.9210,-1.6531,-1.2829,-0.9290,-0.5974,-0.2696,-0.1787,-0.2061,-0.0254,0.0476,0.0572,0.0657,0.2409,0.1084,0.2476,0.1902,0.1251,0.2435,0.1622,0.1448,-0.0419,0.1885,0.2779,0.1021,0.1343,0.0748,0.1045,0.0579,0.1071,-0.0094,0.1982,-0.0574,0.0398,0.0102,0.0740,0.0925,0.0960,-0.0817,-0.0026,-0.0391,-0.0919,0.1058,0.0022,0.2200,-0.0212,0.0367,0.0139,0.0625,0.1410,0.0608,-0.0882,-0.1636,-0.0209,0.0227,-0.0495,0.1416,-0.0253,0.1708,-0.0969,-0.0407,-0.1083,0.0287,-0.0108,0.1527,0.0371,-0.1180,-0.0581,0.0112,0.1048,0.0751
9.6,3.2901,2.7918,2.3206,1.9932,1.5606,1.0273,0.4667,-0.1904,-0.9284,-1.4317,-2.1809,-2.9008,-3.6982,-4.4921,-5.1145,-5.8882,-6.0946,-6.5300,-7.0111,-6.8159,-6.8938,-6.5703,-6.4368,-5.9668,-5.3596,-4.9452,-4.3715,-3.7406,-3.0771,-2.6244,-1.8546,-1.7220,-1.2891,-0.6389,-0.8028,-0.5005,-0.2786,-0.1357,0.1047,-0.0994,0.0363,0.0097,0.0714,0.1273,0.0426,0.2777,0.0681,0.2499,-0.0690,0.1889,0.0506,0.1002,0.0342,-0.0030,-0.0568,0.1232,0.0113,0.0774,0.2195,-0.0544,0.0921,0.0917,0.2633,0.0975,0.0925,0.0895,0.0733,0.1662,0.1862,-0.0836,-0.0834,0.0583,0.0115,0.1080,-0.0026,-0.1627,0.0251,0.0264,0.0470,-0.0457,-0.0370,0.0662,0.0091,0.0611,-0.0828,-0.1308,0.0859,0.0614,0.2648,-0.0323,-0.2039,-0.1085,-0.0698,0.0890,0.0018,0.0855,-0.1258,0.1835,0.0060,0.1419
10.0,3.2806,2.8256,2.5282,2.0720,1.3477,0.9022,0.4788,-0.2005,-0.9533,-1.4762,-2.4323,-2.9159,-3.8480,-4.4780,-5.2018,-5.6772,-6.3527,-6.8255,-6.9758,-7.1537,-6.9705,-6.7773,-6.4950,-6.1459,-5.3946,-4.8508,-4.2664,-3.8242,-3.1440,-2.6454,-2.1064,-1.5508,-1.1811,-0.7958,-0.5592,-0.2676,-0.0938,0.0056,0.1387,-0.1006,0.2286,0.1291,0.0861,0.1240,0.2347,0.1502,-0.1645,0.0324,0.3256,0.0936,0.0837,0.0998,-0.0034,0.0689,0.1202,0.2041,0.0468,0.0834,-0.1985,0.0821,0.1561,-0.0304,0.1052,0.1098,0.1925,0.0621,0.1409,0.0892,0.0089,-0.1715,-0.0813,-0.1621,-0.0545,-0.1428,-0.0264,0.1649,-0.0604,-0.1886,-0.2393,0.0498,0.0197,-0.0444,0.1512,0.1862,0.0091,-0.1339,-0.0230,-0.2255,-0.0484,-0.1688,0.0028,0.0188,0.1324,-0.1052,-0.0215,0.1446,0.1678,-0.1434,-0.1552,0.0710
10.4,3.3524,2.6739,2.3232,1.8618,1.4644,0.9823,0.3748,-0.1472,-0.9532,-1.5490,-2.3002,-3.0961,-3.9670,-4.5230,-5.2924,-5.9939,-6.4221,-6.8112,-7.0417,-7.0623,-7.2507,-6.9429,-6.5437,-6.2128,-5.5160,-5.0846,-4.3960,-3.5755,-3.3056,-2.7161,-2.1073,-1.5128,-1.0638,-0.7306,-0.4771,-0.4339,-0.3760,-0.2281,-0.0748,-0.1164,0.1352,0.1877,0.2583,0.1775,0.0689,0.0712,0.1040,-0.1831,0.1434,-0.0169,0.1283,0.0931,0.0821,0.0419,0.1588,0.0723,0.1754,0.1442,0.1319,0.0742,0.2288,0.0774,0.1513,-0.0009,0.1252,-0.0415,0.1002,-0.0792,0.0394,0.0299,-0.0184,-0.0246,0.0114,-0.0095,0.1812,0.1239,-0.0750,0.0141,0.0912,-0.0275,0.0561,-0.1181,0.1261,0.0093,0.0632,-0.0389,0.1059,0.1090,-0.1018,0.0139,-0.0766,-0.1408,-0.0388,0.0398,0.0212,0.0753,-0.0031,0.1413,0.0190,-0.1854
10.8,3.1075,2.8719,2.3832,1.9329,1.7022,1.0093,0.2892,-0.3527,-0.8488,-1.7777,-2.5027,-3.2040,-3.8936,-4.6316,-5.2735,-5.9452,-6.3967,-6.8878,-7.0232,-7.1833,-7.2427,-6.9845,-6.6109,-6.1783,-5.6277,-5.0152,-4.3842,-3.8977,-3.3028,-2.5057,-2.0237,-1.5078,-1.2825,-0.7635,-0.5877,-0.3040,-0.1926,-0.1757,-0.1219,0.0768,0.0708,0.1839,0.2610,0.0252,0.1391,0.1452,0.0988,0.1746,-0.0839,0.1067,-0.0055,0.1398,0.3343,0.1940,-0.1226,0.1416,-0.0817,0.1957,0.1303,0.0762,0.1700,0.1527,0.0748,0.1043,0.1440,-0.1877,0.0163,-0.0163,0.0963,0.1804,0.1298,0.0710,0.0755,0.1335,0.0627,0.0033,-0.0232,0.0434,-0.1347,-0.0311,-0.2626,0.0396,-0.1456,-0.0594,-0.0617,0.1345,0.2312,-0.1012,0.0445,-0.1332,-0.1262,0.0891,-0.0222,0.1168,0.1192,-0.0830,0.0033,0.0750,0.1186,0.1013
11.2,3.0608,2.8149,2.1380,1.9049,1.4924,0.9273,0.4243,-0.3576,-1.0064,-1.6951,-2.3659,-3.1344,-4.0475,-4.7214,-5.5721,-6.0875,-6.5163,-6.8701,-7.0594,-7.1191,-7.1586,-6.9738,-6.4684,-6.0589,-5.6956,-5.1043,-4.4893,-3.8757,-3.3872,-2.7029,-2.1184,-1.4138,-1.2186,-0.9449,-0.6050,-0.5671,-0.2886,-0.1848,-0.0298,0.1290,0.2054,0.0721,0.1629,0.1415,0.0559,0.3085,0.2105,0.0579,0.1915,0.0344,0.2049,0.2540,-0.0099,0.0601,0.1909,-0.0236,0.0048,0.0540,0.1110,0.1944,-0.0897,0.1469,-0.0217,0.1169,0.0258,0.0903,0.1072,0.1171,-0.0101,0.1259,0.0333,0.0685,0.0803,-0.0857,-0.0493,0.0449,0.0316,-0.1185,0.1431,0.1557,-0.0902,0.1295,0.2246,0.0572,-0.0998,-0.0309,0.0785,0.0418,-0.0130,-0.0709,-0.0075,0.0641,0.0675,-0.2057,-0.0100,0.0556,0.0784,-0.1104,-0.0405,0.1643
11.600000000000001,3.2496,2.7639,2.4749,1.8608,1.4274,0.9050,0.3193,-0.1180,-0.8886,-1.5932,-2.4688,-3.1233,-3.9219,-4.7391,-5.5374,-5.9555,-6.5197,-6.9953,-7.1256,-7.3047,-7.3954,-7.0788,-6.7499,-6.3813,-5.9018,-5.0524,-4.5996,-3.9749,-3.3897,-2.5416,-2.1590,-1.7099,-1.3545,-1.0698,-0.5982,-0.5391,-0.1877,-0.0478,-0.1505,0.1487,0.1080,0.0314,0.1485,0.1908,0.2296,0.0490,0.3184,-0.0166,0.2330,0.2081,-0.0541,0.0171,0.1065,0.2048,0.0395,0.0214,0.0589,0.0985,-0.0138,-0.0241,0.0838,-0.0007,0.0191,0.1729,0.0447,0.2954,0.0434,-0.0075,0.0150,0.0792,-0.0803,-0.0217,0.0240,0.1452,0.0922,-0.1608,-0.0223,0.0788,0.1491,0.0716,0.1024,-0.1321,0.0969,-0.1806,-0.0119,-0.0461,0.0602,0.0099,-0.0657,-0.1347,0.0143,-0.0034,-0.0228,-0.0291,0.0599,0.0860,0.0978,-0.0606,-0.0419,0.0633
12.0,2.9703,2.5163,2.4986,1.9303,1.3661,0.9965,0.5463,-0.4156,-0.9820,-1.6812,-2.5681,-3.3340,-3.9684,-4.9579,-5.3294,-6.0197,-6.7479,-7.2551,-7.1526,-7.4935,-7.3282,-7.1599,-6.7033,-6.1273,-5.7567,-5.0475,-4.5934,-3.8265,-3.3164,-2.4565,-2.0520,-1.8248,-1.2109,-0.9584,-0.6920,-0.3740,-0.4028,-0.1994,-0.1242,0.0472,0.0434,0.1513,-0.0366,0.1022,0.1106,0.2245,0.0301,0.0012,0.2847,0.1179,0.1718,0.1583,0.1384,0.2947,0.1180,0.1535,0.1354,0.1240,0.0564,0.3004,0.2045,0.0865,0.0613,-0.0514,0.0509,0.1880,0.1485,-0.0373,0.0420,0.0447,-0.0993,0.0720,0.1079,-0.0206,0.1968,0.0679,0.0626,-0.0736,-0.0056,0.1392,0.0390,0.0514,-0.0919,-0.0204,0.0816,0.0710,0.1298,0.0349,0.0262,0.1338,0.0454,0.2069,-0.0163,0.0698,0.0770,0.0813,0.0556,0.0250,-0.1172,-0.0464
12.4,3.2366,2.8245,2.3073,1.9156,1.4131,0.9129,0.3135,-0.3367,-0.9857,-1.7659,-2.5679,-3.4764,-4.1982,-4.9061,-5.5073,-6.2658,-6.7324,-7.2897,-7.3364,-7.3568,-7.4887,-7.1353,-6.9065,-6.5068,-5.8674,-5.2254,-4.7508,-3.9406,-3.3451,-2.5292,-2.0966,-1.6665,-1.3094,-1.0670,-0.6872,-0.5294,-0.2227,-0.2518,0.0107,0.2501,0.1918,0.1081,-0.0392,0.2103,0.1268,0.1554,0.1437,0.2543,0.0760,0.2296,0.1544,0.2470,0.0132,0.1084,0.0364,0.1430,0.0615,0.0835,0.1022,0.0772,-0.0469,0.0684,0.0755,-0.0421,0.1236,0.0058,-0.1401,-0.1105,0.0008,0.1513,0.0609,-0.0682,0.0675,-0.0373,-0.0391,-0.0287,0.1257,-0.0409,0.0904,0.1221,0.0370,-0.1414,0.0012,0.2260,0.0948,0.0446,-0.0299,-0.1441,-0.0122,-0.1124,0.0756,-0.0220,-0.0284,-0.1605,0.0640,-0.0360,-0.0241,0.0829,-0.0767,-0.0960
12.8,2.9974,2.7540,2.3417,1.9695,1.4744,0.9573,0.3835,-0.3855,-0.9905,-1.9606,-2.6932,-3.3879,-4.1370,-4.8544,-5.6405,-6.3132,-6.9439,-7.2028,-7.5628,-7.4357,-7.4054,-7.3608,-6.8890,-6.4558,-5.8794,-5.1568,-4.6217,-3.9472,-3.2913,-2.6114,-2.1691,-1.6268,-1.2123,-0.9942,-0.6129,-0.4379,-0.2501,-0.0511,0.2392,0.0515,0.1718,0.3720,0.2063,0.1608,0.1008,0.2162,0.1970,0.1450,0.1748,0.0893,0.0560,0.0901,0.1714,0.1372,0.1236,0.2283,0.1381,0.1225,0.0289,0.0576,0.1450,0.0349,0.1071,0.0235,0.0778,-0.0307,0.2258,0.1727,-0.0406,0.2003,-0.0421,0.1620,0.2118,0.1633,0.1267,0.0567,0.0970,0.0825,0.0388,0.1797,-0.2398,0.0163,0.0312,-0.1073,0.1018,0.0391,0.0784,0.2433,0.0072,-0.0924,0.0100,-0.0224,0.0117,0.0064,-0.1933,0.0523,-0.1268,-0.0929,-0.0473,-0.0328
13.2,3.0646,2.7098,2.3235,1.9244,1.2589,0.8112,0.2398,-0.3411,-1.0895,-1.7072,-2.4263,-3.6251,-4.1910,-5.1680,-5.7236,-6.3643,-7.0062,-7.1634,-7.5377,-7.7382,-7.4228,-7.2141,-6.9324,-6.5527,-5.8096,-5.2937,-4.7049,-4.0935,-3.3664,-2.7288,-2.3212,-1.7930,-1.4117,-1.0431,-0.5738,-0.5204,-0.1779,-0.1188,0.1397,-0.0703,0.0754,0.0575,0.1363,0.0258,0.1342,0.3630,0.2150,0.1502,0.1333,0.1946,0.0962,-0.0895,0.1481,-0.0560,0.0436,-0.0263,0.1282,-0.0026,0.1562,0.0901,0.0885,0.0564,0.1553,-0.0425,0.1161,-0.1128,0.0582,0.1827,0.0045,0.0310,0.0453,0.0674,-0.0885,0.0930,-0.0392,-0.0028,0.0679,0.0056,0.0275,0.0387,0.0862,-0.2245,-0.0267,-0.0083,0.1579,0.1334,-0.2098,0.1109,-0.0549,-0.1426,0.1137,0.0460,0.0055,0.1681,0.1592,-0.1431,0.1051,0.0956,0.0020,0.0794
13.600000000000001,3.1133,2.8718,2.4863,1.8895,1.5787,0.7693,0.2200,-0.4222,-1.0698,-1.8871,-2.6266,-3.4653,-4.1263,-4.9888,-5.8484,-6.5186,-6.9286,-7.2838,-7.5137,-7.6050,-7.7326,-7.3233,-7.0542,-6.6514,-6.1065,-5.4832,-4.7426,-4.1191,-3.3515,-2.8597,-2.2346,-1.6463,-1.3244,-0.9428,-0.9509,-0.3361,-0.3089,-0.3108,-0.0582,0.0084,0.0916,0.1143,-0.0008,0.1291,0.0272,0.2424,0.2406,0.3253,-0.0461,0.2240,0.1735,0.2583,0.0341,0.1091,-0.0249,0.0192,-0.1071,0.0051,0.0151,0.0532,0.0586,0.2484,-0.1664,0.1191,-0.1645,0.0431,0.1380,-0.0698,0.1643,-0.0038,0.0439,-0.0931,0.0285,-0.1366,0.0834,0.1214,0.0758,0.0415,0.2251,0.0228,0.0540,0.0726,0.0378,-0.1332,0.1916,-0.1251,0.0126,-0.0181,0.0774,0.0987,-0.1137,0.0021,0.0300,0.0261,0.0533,0.0291,-0.0389,-0.0562,-0.1297,-0.1218
14.0,3.0610,2.5883,2.3679,2.1256,1.3904,0.8236,0.1310,-0.4376,-1.0711,-1.8475,-2.8669,-3.5687,-4.3421,-5.0184,-5.6755,-6.3163,-6.9886,-7.3576,-7.6889,-7.6813,-7.6518,-7.6362,-7.1786,-6.6240,-6.0339,-5.3852,-4.7187,-4.1884,-3.3750,-3.0202,-2.2904,-1.8313,-1.2876,-1.0203,-0.7649,-0.4166,-0.4261,-0.0706,-0.0111,-0.1922,0.1572,-0.0611,0.3403,0.2273,0.2567,0.3146,0.1862,0.0784,0.1242,0.2053,0.1193,0.2315,0.1618,0.0065,0.0793,0.1692,0.0151,0.1394,0.2751,0.0710,-0.1263,0.3203,-0.1294,-0.0864,0.0458,0.0531,-0.1556,0.0015,0.0698,0.0620,-0.0272,-0.0094,0.1446,0.0165,0.0417,0.0501,0.0314,-0.1315,-0.0734,-0.1435,0.1265,0.0311,-0.0135,0.0741,0.1445,0.0737,0.0194,0.0240,-0.1531,-0.1791,0.1829,-0.1427,0.1647,0.0871,0.1114,0.0655,-0.0431,-0.0649,0.0277,0.1383
